place,title,time,pay,date
경기 안성시,[주4일/4~5시간] 안성 서희스타힐스 공부방 운영하실 원장님 모십니다.,14:00~18:00,"월급 2,000,000",1시간전
세종 전체,주부시간제일자리(주4일하루4시간)새뜸마을에서 아소비와 함께 내일하기,14:00~18:00,"월급 2,000,000",1시간전
세종 전체,주부시간제 일자리(주4일 하루4~5시간)호려울마을에서 아소비와 함께,14:00~18:00,"월급 2,000,000",1시간전
세종 전체,주부시간제일자리(주4일하루4시간)해밀리에서 아소비와 함께,14:00~18:00,"월급 2,000,000",1시간전
경기 의왕시,(의왕공부방/학원/5~9세전문)국민공부방 아소비 원장님을 모십니다,14:00~18:00,"월급 2,000,000",1시간전
경기 군포시,(아소비학원 산본센터/5~9세 전문)함께할 선생님을 모십니다,13:00~18:00,"시급 12,000",1시간전
경기 김포시,"구래동 이편한세상 2,3단지에서 아소비 창업하실 성실한 선생님을 모집합니다.",13:30~18:00,"월급 2,000,000",2시간전
경기 안양시,"(부림초,부안초)주4일/아소비 공부방 인수하실 원장님을 모십니다",14:00~18:00,"주급 2,000,000",2시간전
경기 안양시,(평촌어바인퍼스트/5~9세전문/주4일)국민 공부방 아소비 원장님을 모십니다,14:00~18:00,"주급 2,000,000",2시간전
경기 군포시,(아소비학원 산본센터/5~9세 전문)함께할 선생님을 모십니다,13:00~18:00,"월급 1,200,000",2시간전
경기 성남시,아소비 공부방 & 학원 도촌동에 개설하실 원장님 모십니다.,02:00~06:00,"월급 2,000,000",3시간전
경기 성남시,아소비 공부방 & 학원 위례자래이에 개설하실 원장님 모십니다.,02:00~06:00,"월급 2,000,000",3시간전
경기 성남시,아소비 공부방 & 학원 위례호반베르디움에 개설하실 원장님 모십니다.,02:00~06:00,"월급 2,000,000",3시간전
경북 경산시,(경산삼주봉황타운4차/소자본1인창업)아소비를 만나보세요,13:30~18:30,"월급 2,000,000",3시간전
경북 경산시,(경산중산펜타힐즈더샵1차/소자본1인창업)아소비를 만나보세요,13:30~18:30,"월급 2,000,000",3시간전
대구 동구,(동구지묘동LH웰시티)아소비공부방창업/내집에서 창업할 원장님 모십니다.,13:30~18:30,"월급 2,000,000",3시간전
대구 동구,(동구율하우방아이유쉘)아소비공부방창업/내집에서 창업할 원장님 모십니다.,13:30~18:30,"월급 2,000,000",3시간전
경기 하남시,"주부에게 강추, 집에서 주4일만 공부방 운영하세요",14:00~19:00,"월급 2,000,000",3시간전
경기 하남시,"교육관련 종사자에게 강추, 집에서 스트레스없이 공부방 운영하세요",14:00~19:00,"월급 2,000,000",3시간전
경기 하남시,"단순 알바는 이제그만,집에서 공부방 운영하세요",14:00~19:00,"월급 2,000,000",3시간전
서울 강동구,"(주4일, 재택근무) 유치 초등저학년 전문 공부방 운영하기",14:00~19:00,"월급 2,000,000",3시간전
서울 송파구,"단순 알바는 이제 그만, 집에서 아이돌보며 공부방 운영하기",14:00~19:00,"월급 2,000,000",3시간전
제주 제주시,[주4회/재택근무]한림초 근처 아소비 원장님 모집합니다.,02:00~06:00,"월급 2,000,000",3시간전
제주 제주시,[주4일/주부환영] 한일베라체 공부방 원장님 모십니다,02:00~06:00,"월급 2,000,000",3시간전
제주 제주시,[5~9세공부방/주4일] 신제주초 공부방 원장님 모십니다,02:00~06:00,"월급 2,000,000",3시간전
경남 진주시,무지개초공부방/진주공부방/충무공동공부방/한림풀에버/여성창업/주4일공부방아소비,시간협의,"월급 1,700,000",4시간전
경남 거제시,(거제공부방창업) 상동 벽산블루밍 아파트에서 아소비공부방 원장님을 모십니다,시간협의,"월급 1,700,000",4시간전
경남 창원시,"[공부방창업] 마산 월영동 현대 1,2,3차 아파트에서 아소비공부방 창업",시간협의,"월급 1,700,000",4시간전
경남 창원시,창원 상남토월대동 아파트에서 아소비 공부방을 운영하실 원장님을 기다립니다.,시간협의,"월급 1,700,000",4시간전
부산 남구,[부산대연동파크푸르지오아파트]에서 아소비공부방 창업하실 원장님을 모십니다,14:00~16:00,"월급 1,600,000",5시간전
충북 청주시,복대동 영조아름다운나날차파트에서 아소비 공부방 운영하실 선생님을 모집합니다.,13:00~18:00,"월급 2,000,000",5시간전
부산 사상구,[부산주례반도보라아파트]에서 아소비공부방 창업하실 원장님을 모십니다,14:00~16:00,"월급 1,600,000",5시간전
부산 강서구,[부산명지국제학원]에서 아소비공부방 선생님을 구합니다.,14:00~16:00,"월급 750,000",5시간전
